"gender","major","disaster_freq","ai_experience","nt_can_thiet_1","nt_can_thiet_2","nt_can_thiet_3","nb_ai_1","nb_ai_2","nb_ai_3","kv_hieu_qua_1","kv_hieu_qua_2","kv_hieu_qua_3","ln_phi_nhan_tinh_1","ln_phi_nhan_tinh_2","ln_phi_nhan_tinh_3","te_liet_xh_1","te_liet_xh_2","te_liet_xh_3","nham_lan_gkhq_1","nham_lan_gkhq_2","nham_lan_gkhq_3","yd_hanh_vi_1","yd_hanh_vi_2","yd_hanh_vi_3","other_opinions"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,3,3,5,4,4,5,5,3,5,5,5,5,4,3,4,4,4,3,3,3,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",1,4,1,5,5,5,3,2,1,4,4,4,5,1,1,2,1,1,1,1,1,"Không"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,3,4,2,4,3,4,4,4,2,4,3,3,2,3,3,3,4,3,4,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Chưa từng sử dụng",1,1,2,3,4,3,3,2,2,4,5,5,4,2,1,4,1,4,1,1,2,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,5,3,5,3,3,5,5,3,4,4,4,3,2,5,3,4,3,2,2,2,"Không"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng thường xuyên",4,2,5,5,3,4,2,2,5,5,5,5,3,2,5,4,3,5,4,5,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,3,3,3,"không ạ"
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Chưa từng sử dụng",5,3,5,5,5,4,5,4,5,4,4,3,5,4,5,4,4,5,3,3,3,"Dạ không ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,2,5,3,3,4,5,4,2,3,5,4,4,3,4,4,3,2,4,4,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",2,2,3,3,3,4,3,2,4,2,3,4,3,2,4,3,2,4,2,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",2,2,1,5,4,4,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",1,1,1,4,5,4,5,3,3,4,1,1,1,1,4,2,1,1,3,1,1,"Mình cảm thấy khi chúng ta có nhu cầu chăm sóc sức khỏe tinh thần, phần lớn sẽ tiếp cận với môi trường mạng xã hội nhiều hơn, thay vì nghĩ đến việc lựa chọn AI để '' xoa dịu'' bản thân. Đề tài khá mới mẻ, chúc các bạn thành công !!"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,5,5,5,5,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,5,3,4,5,5,5,4,5,5,3,3,4,4,4,5,5,5,3,4,3,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",3,4,4,2,4,4,5,5,4,2,3,2,2,2,1,2,4,4,3,3,4,"Dạ không ạ"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",2,2,2,4,4,4,2,2,2,3,3,5,5,2,3,2,3,2,2,2,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",3,3,3,4,5,3,4,3,2,4,5,5,4,3,2,3,1,3,1,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,2,5,5,3,2,3,4,5,5,5,5,3,5,4,4,5,5,2,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,4,5,5,4,3,"Không có"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,4,4,3,3,4,2,3,5,5,5,1,3,2,2,4,4,1,1,1,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,4,5,5,5,5,5,5,4,3,4,5,4,3,5,5,4,4,4,5,"ko ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",2,2,2,4,4,4,3,4,2,4,4,4,4,4,4,3,2,3,2,2,2,"K"
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,4,1,1,5,4,4,1,1,5,5,5,1,1,1,1,1,3,1,1,1,"Theo mình là bảo mật dữ liệu cá nhân, vì dữ liệu sức khỏe tinh thần đặc biệt nhạy cảm. Cần có các tiêu chuẩn pháp lý khắt khe và minh bạch về cách thức các hệ thống AI thu thập, lưu trữ, và chia sẻ thông tin người dùng"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,3,3,4,4,3,3,3,2,3,4,2,4,2,2,4,3,3,4,3,4,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,4,4,5,5,4,4,3,3,2,4,4,5,2,2,1,1,1,1,1,1,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,3,5,4,2,5,4,2,3,3,4,4,4,4,2,3,4,3,3,4,3,"KHÔNG"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Hằng năm, đều đặn","Sử dụng thường xuyên",3,3,4,5,5,3,3,3,3,4,5,4,5,5,3,5,5,5,3,3,4,"Dạ không ạ"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,3,3,5,5,2,4,4,5,4,3,4,3,1,4,1,2,1,1,3,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,5,4,5,5,5,5,5,3,2,4,4,2,3,4,4,2,2,4,3,"Không có"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,3,1,4,5,5,3,4,4,4,3,2,2,3,4,4,4,3,4,4,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Hằng năm, đều đặn","Chưa từng sử dụng",5,5,3,5,5,5,3,3,3,2,3,2,4,3,4,3,2,2,2,3,3,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",5,2,3,5,4,3,3,3,3,5,5,5,4,2,2,2,2,2,2,2,2,"Khônt"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,3,4,2,1,4,5,3,2,3,5,5,3,2,4,5,4,4,2,5,"Tôi lo ngại việc AI khen/nịnh mình quá nhiều làm bản thân không nhận ra được vấn đề hiện tại mà bản thân đang mắc phải"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,3,4,5,4,2,5,3,5,2,2,1,2,1,1,4,5,5,1,4,1,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,1,3,5,5,3,1,2,1,4,1,3,1,1,1,1,1,1,1,1,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Sử dụng vài lần",4,3,5,4,5,3,4,4,3,3,2,3,4,3,2,2,3,3,2,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,2,4,4,4,4,4,4,4,3,3,5,4,3,4,4,4,4,4,4,3,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",5,3,5,5,5,4,4,4,3,4,5,5,3,3,3,3,4,4,3,3,4,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Sử dụng vài lần",5,5,5,4,3,4,4,5,4,5,5,4,5,3,2,2,4,2,3,3,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Chưa từng sử dụng",2,1,1,2,3,3,2,1,1,4,3,5,5,1,2,1,1,1,1,2,1,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",5,4,4,3,2,3,4,3,4,4,5,5,5,4,4,4,5,5,2,3,3,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Hằng năm, đều đặn","Sử dụng thường xuyên",4,4,4,5,5,4,5,4,4,3,4,4,4,4,4,4,5,4,2,4,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Hằng năm, đều đặn","Sử dụng vài lần",4,3,3,4,4,3,4,3,3,4,5,5,5,3,3,3,3,3,2,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,3,4,4,4,3,4,5,4,5,5,5,4,3,3,4,4,4,2,3,3,"Không có"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,2,5,5,5,4,2,1,1,5,5,5,5,3,1,1,1,1,1,1,3,"Ở góc nhìn cá nhân của mình, AI được huấn luyện và tạo nên bởi con người, về cơ bản nó cũng có thể có được sự kế thừa từ suy nghĩ, kiến thức của con người. Tuy nhiên, về khía cạnh tâm lý - cảm xúc, mình khá e ngại và có phần cảm thấy không thực sự tốt nếu dùng AI để can thiệp. Sự kết nối giữa người với người vẫn là điều luôn phải ưu tiên (không thể thay thế) đối với khía cạnh cảm xúc tinh thần. Mình cảm ơn. Chúc nhóm sẽ nhận được kết quả mong đợi và hoàn thành tốt dự án"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",3,4,3,3,3,4,4,2,3,3,3,2,2,3,2,3,2,3,2,2,4,NA
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,5,5,5,5,5,5,5,5,1,1,2,2,3,4,3,2,3,4,4,4,"Không"
"Nữ","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,2,2,3,2,2,3,3,1,3,4,2,3,2,3,3,3,1,2,2,4,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",2,3,3,2,3,2,4,1,3,2,4,3,2,3,4,3,2,3,3,2,3,"không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,4,3,5,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,2,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Hằng năm, đều đặn","Sử dụng vài lần",4,4,2,4,4,2,2,2,5,5,4,4,4,2,2,4,4,2,1,1,2,"Mình không ạ!"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",2,3,3,5,4,3,1,5,5,2,2,2,2,5,1,4,5,4,1,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,4,4,5,5,3,4,3,4,3,4,5,5,4,4,4,5,3,1,2,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,3,4,3,4,3,4,5,3,5,4,4,3,4,5,4,4,3,4,3,5,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,"Không ạ"
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,5,4,4,4,5,3,4,4,3,5,4,3,5,5,4,5,4,4,5,3,"Không ạ"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,5,3,4,5,3,4,4,5,4,4,3,3,2,3,2,2,4,2,2,3,"Không có"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",4,3,4,4,4,3,5,4,2,4,4,4,4,4,2,4,2,3,2,2,3,"Không"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,1,1,4,4,3,5,3,4,3,2,4,2,2,3,1,2,2,1,3,3,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,3,4,3,4,4,5,5,4,3,2,3,2,2,2,3,2,2,1,1,1,"Mình chỉ xem AI như công cun hỗ trợ, hợp lý thì mình ghi nhớ còn ko hợp lý thì mình sẽ bỏ qua, chỉ giảm stress đôi lúc thôi"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,2,5,4,4,3,3,2,3,4,1,2,5,2,4,2,2,4,1,2,1,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",5,3,5,4,4,3,5,5,5,4,5,5,4,4,3,4,3,3,2,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,3,5,4,4,4,4,4,3,4,4,4,4,4,3,4,2,2,4,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",4,5,4,3,4,5,4,3,4,4,5,4,5,4,5,4,3,4,2,2,3,"Lo ngại sự rò rỉ thông tin khi trao đổi với AI"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,4,3,3,4,4,3,3,4,4,3,4,5,3,3,4,3,2,3,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,5,3,3,4,4,5,4,4,2,2,3,3,2,3,2,2,1,2,3,3,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",3,3,5,5,4,4,4,3,4,3,3,3,2,3,5,5,5,5,3,3,3,"Homm"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",2,4,3,1,3,2,2,4,3,2,3,4,1,2,3,4,2,3,3,2,3,"Mình sợ các dữ liệu cá nhân khi chia sẻ với AI bị rò rỉ"
"Nam","Khoa học Kỹ thuật & Công nghệ (Công nghệ thông tin, Kỹ thuật, Kiến trúc, Điện tử...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,3,3,5,4,3,5,4,4,4,4,4,4,1,1,1,1,1,2,4,2,"Vẫn cần truyền thống nhưng nên kết hợp qua trực tuyến để giảm các chi phí và tiện lợi hơn"
"Nam","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,5,4,3,3,3,4,4,4,5,5,5,4,5,5,4,5,4,4,5,5,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Chưa từng sử dụng",3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",2,2,3,1,3,3,4,4,4,2,2,2,1,1,1,3,3,1,3,3,3,"em không ạ"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,2,3,3,3,4,4,3,2,2,2,2,3,2,3,3,3,2,2,2,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,5,3,3,2,4,4,3,5,4,5,3,3,3,3,2,3,2,3,3,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,3,2,5,4,4,4,4,4,3,3,4,4,3,3,4,3,4,3,3,3,"Không có"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",3,4,3,4,4,4,2,5,3,5,5,5,4,3,3,3,3,3,3,3,4,"không có ạ"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,2,4,3,5,4,3,3,2,3,2,4,2,1,4,3,4,3,1,3,2,NA
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng thường xuyên",4,3,4,4,3,2,3,4,3,3,3,3,3,2,3,3,4,4,2,4,4,"Không"
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,3,5,5,3,4,3,3,4,3,3,2,1,1,3,5,1,2,3,2,"Mình lo ngại việc liệu rằng khi con người quá phụ thuộc vào AI để thực hiện các liệu trình tâm lý đôi khi sẽ gây ra những ảnh hướng khác nhau vì cơ bản AI là một trí tuệ nhân tạo mà đã là nhân tạo thì không thể có cảm xúc như con người được việc cơ bản của nó là bắt trước và vì AI luôn hướng đến việc mang đến những câu trả lời mang tích tích cực hóa nên mình cảm thấy việc sài AI cho việc chăm sóc sức khỏe không mang lại giá trị lắm."
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,5,3,3,2,5,4,3,3,2,3,4,3,5,2,1,2,2,4,5,"Không có"
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Chưa từng sử dụng",3,3,3,4,3,2,4,4,4,3,3,3,3,3,2,3,3,3,2,2,2,NA
"Nữ","Khoa học Xã hội, Nhân văn & Ngôn ngữ (Luật, Ngôn ngữ Anh/Hàn/Trung, Tâm lý học, Báo chí...)","Chưa từng bị ảnh hưởng","Sử dụng vài lần",4,4,2,5,5,3,4,3,2,3,3,4,3,4,4,4,5,4,3,2,2,"Không có."
"Nữ","Kinh tế, Kinh doanh & Quản lý (Quản trị kinh doanh, Tài chính - Ngân hàng, Kế toán, Logistics...)","Thỉnh thoảng, tùy năm","Sử dụng vài lần",5,4,5,5,4,4,5,5,5,4,5,5,4,5,4,3,4,5,2,4,5,"dạ không ạ
"
